Ackleys,Alpine,Brown,ChungReynolds,DixonPrice,Exponential,Griewank,Qing,Rastrigin,Rosenbrock,Salomon,SchumerSteiglitz,Schwefel220,Schwefel226,Sphere,StyblinksiTang,SumOfPowers,SumSquares,Trid,Zakharoy,FixedOne,FixedHalf,Random
2.31E-04,1.59E-04,2.44E-04,2.00E-04,2.68E-04,3.17E-04,3.92E-04,0.001245549,3.51E-04,2.41E-04,4.038517851,2.40E-04,2.03E-04,0.041598305,5.83E-04,5.60E-04,0.51314661,6.15E-04,2.58E-04,1.71E-04,0,0,0.067516327
2.31E-04,1.48E-04,2.25E-04,2.00E-04,2.63E-04,3.29E-04,4.03E-04,0.001276089,3.68E-04,2.30E-04,4.038517851,2.32E-04,2.03E-04,0.039836918,5.83E-04,5.58E-04,0.517780173,6.15E-04,2.58E-04,1.77E-04,0,0,0.070015662
2.31E-04,1.45E-04,2.37E-04,2.00E-04,2.63E-04,3.29E-04,4.11E-04,0.001273556,3.51E-04,2.24E-04,3.954739955,2.20E-04,2.10E-04,0.038735773,5.86E-04,5.31E-04,0.507813469,5.91E-04,2.57E-04,1.86E-04,0,0,0.044988822
2.31E-04,1.50E-04,2.70E-04,2.00E-04,2.79E-04,3.17E-04,3.91E-04,0.00126824,3.47E-04,2.23E-04,3.629128917,2.31E-04,2.10E-04,0.039495248,5.86E-04,5.44E-04,0.507208348,5.91E-04,2.57E-04,1.81E-04,0,0,0.044988822
2.31E-04,1.52E-04,2.82E-04,2.00E-04,2.76E-04,3.17E-04,3.84E-04,0.001201194,3.53E-04,2.33E-04,3.787224533,2.31E-04,2.10E-04,0.041896452,5.86E-04,5.44E-04,0.536938768,5.70E-04,2.67E-04,1.81E-04,0,0,0.044988822
2.26E-04,1.52E-04,2.83E-04,2.00E-04,2.89E-04,3.10E-04,3.84E-04,0.001351377,3.60E-04,2.57E-04,3.698540694,2.35E-04,2.10E-04,0.041420074,6.30E-04,5.39E-04,0.534865176,6.41E-04,2.67E-04,2.02E-04,0,0,0.063058586
2.26E-04,1.54E-04,2.84E-04,2.00E-04,2.97E-04,3.12E-04,3.84E-04,0.001351377,3.87E-04,2.57E-04,3.67895907,2.45E-04,2.36E-04,0.041420074,6.66E-04,5.39E-04,0.528614199,6.75E-04,2.59E-04,1.95E-04,0,0,0.063058586
2.13E-04,1.53E-04,2.84E-04,2.00E-04,2.93E-04,3.12E-04,3.84E-04,0.001402719,3.80E-04,2.57E-04,3.67895907,2.53E-04,2.30E-04,0.041072096,6.66E-04,5.39E-04,0.517084831,6.75E-04,2.59E-04,2.11E-04,0,0,0.064045393
2.08E-04,1.53E-04,2.84E-04,2.00E-04,3.12E-04,3.12E-04,3.84E-04,0.001423586,3.80E-04,2.45E-04,3.605080955,2.53E-04,2.26E-04,0.040243561,6.86E-04,5.69E-04,0.510458704,6.97E-04,2.59E-04,2.11E-04,0,0,0.064045393
2.08E-04,1.49E-04,2.87E-04,1.95E-04,2.97E-04,3.12E-04,3.77E-04,0.001423586,3.80E-04,2.39E-04,3.632757951,2.52E-04,2.20E-04,0.040243561,6.82E-04,5.83E-04,0.504107451,6.86E-04,2.59E-04,2.14E-04,0,0,0.066331806
